,ccd,qid,rcid,field
254684.0,2,1,4,331
254684.0,10,2,37,1323
254685.0,6,4,23,188
254686.0,5,2,17,331
254686.0,14,3,54,1323
254687.0,6,1,20,1274
254687.0,14,2,53,233
254688.0,6,2,21,57
254688.0,15,2,57,1063
254690.0,2,2,5,1274
254690.0,11,1,40,233
254691.0,3,3,10,284
254691.0,12,3,46,1277
254692.0,5,4,19,382
254693.0,2,2,5,1274
254693.0,11,3,42,233
254694.0,11,4,43,1073
254695.0,1,2,1,638
254695.0,10,2,37,1635
254696.0,7,3,26,1375
254697.0,1,2,1,280
254697.0,10,1,36,1273
254698.0,11,1,40,233
254699.0,2,3,6,232
254699.0,11,4,43,1227
254700.0,5,1,16,1274
254700.0,8,2,29,1275
254700.0,13,2,49,233
254701.0,3,3,10,281
254701.0,12,4,47,1274
254702.0,1,2,1,281
254702.0,10,1,36,1274
254703.0,5,2,17,146
254703.0,13,4,51,1144
254704.0,7,2,25,1325
254704.0,13,1,48,282
254704.0,16,2,61,283
254705.0,5,4,19,1275
254705.0,8,3,30,1276
254705.0,14,4,55,234
254706.0,6,3,22,281
254707.0,3,1,8,233
254707.0,11,2,41,1228
254708.0,6,4,23,145
254708.0,13,3,50,1143
254709.0,2,1,4,802
254709.0,9,2,33,1805
254709.0,12,2,45,1806
254710.0,1,4,3,281
254710.0,4,3,14,282
254710.0,9,3,34,1274
254711.0,6,2,21,1274
254711.0,15,4,59,233
254712.0,6,4,23,1274
254713.0,10,3,38,1274
254714.0,1,1,0,281
254714.0,4,2,13,282
254714.0,9,2,33,1274
254715.0,7,4,27,1274
254715.0,15,3,58,233
254716.0,4,4,15,1323
254716.0,13,2,49,1273
254717.0,12,1,44,187
254718.0,2,2,5,1428
254718.0,11,1,40,383
254719.0,3,3,10,1481
254719.0,12,3,46,436
254720.0,3,4,11,1481
254720.0,12,4,47,436
254720.0,13,1,48,1429
254721.0,8,1,28,384
254721.0,13,1,48,1376
254721.0,16,2,61,1377
254722.0,7,2,25,488
254722.0,16,3,62,1482
254723.0,1,1,0,281
254723.0,10,1,36,1274
254724.0,6,2,21,1533
254724.0,15,1,56,487
254725.0,2,4,7,233
254726.0,3,3,10,332
254726.0,12,4,47,1324
254727.0,3,3,10,282
254727.0,12,3,46,1275
254728.0,7,1,24,1274
254728.0,15,2,57,233
254729.0,2,1,4,144
254729.0,9,2,33,1142
254730.0,4,1,12,187
254730.0,9,4,35,1184
